Object,RA,DEC,Class
AM 2132-535,21 36 11.2700,-53 41 24.700,PRG
AM 2134-471,21 37 28.1800,-47 02 09.000,PRG
AM 2136-492,21 39 25.9159,-49 09 42.410,PRG
AM 2141-515,21 45 15.1967,-51 41 52.909,PRG
AM 2145-543,21 49 08.8000,-54 17 48.000,PRG
AM 2147-490,21 51 06.1166,-48 48 19.720,PRG
AM 2152-592,21 56 19.6400,-59 07 16.200,PRG
AM 2155-263,21 58 38.4400,-26 22 40.400,PRG
AM 2159-330,22 02 44.5600,-32 48 07.800,PRG
AM 2200-715,22 05 00.2864,-71 42 07.414,PRG
AM 2201-230,22 04 19.2643,-22 47 39.503,PRG
AM 2209-715,22 13 07.1504,-71 44 44.506,PRG
AM 2220-493,22 23 13.4000,-49 17 37.538,PRG
AM 2223-635,22 26 44.7000,-63 42 12.000,PRG
AM 2229-735,22 23 43.21,-73 40 44.08,PRG
AM 2230-481,22 33 45.2000,-48 01 30.000,PRG
AM 2238-541,22 41 57.2190,-53 59 41.305,PRG
AM 2240-304,22 43 36.8400,-30 28 50.200,PRG
AM 2243-341,22 46 38.57,-34 02 46.99,PRG
AM 2246-581,22 49 19.0121,-57 56 12.839,PRG
AM 2247-440,22 50 27.6200,-43 48 41.800,PRG
AM 2248-324,22 51 45.0600,-32 33 31.500,PRG
AM 2248-332,22 51 04.1640,-33 04 27.280,PRG
AM 2302-322,23 05 40.1100,-32 09 10.600,PRG
AM 2308-324,23 11 16.9600,-32 27 15.400,PRG
AM 2309-235,23 12 13.0177,-23 36 28.545,PRG
AM 2311-425,23 13 53.1700,-42 36 15.400,PRG
AM 2313-261,23 15 46.7700,-25 54 19.400,PRG
AM 2315-495,23 18 21.8100,-49 36 33.700,PRG
AM 2316-520,23 19 17.6701,-51 45 47.240,PRG
AM 2317-672,23 20 09.8100,-67 08 58.500,PRG
AM 2322-671,23 25 45.0000,-67 03 34.000,PRG
AM 2323-512,23 26 31.8300,-51 08 07.400,PRG
AM 2331-705,23 34 27.4500,-70 37 53.500,PRG
AM 2334-292,23 37 06.5600,-29 05 01.700,PRG
AM 2338-312,23 41 22.0000,-31 03 12.000,PRG
AM 2343-703,23 46 39.4300,-70 22 51.200,PRG
AM 2350-514,23 53 25.9267,-51 26 08.650,PRG
AM 2353-291,23 56 25.0000,-29 01 24.000,PRG
ARP 010,02 18 26.3596,+05 39 13.806,PRG
ARP 107,10 52 14.8,+30 03 28,PRG
ARP 118,02 55 12.1960,-00 11 00.806,PRG
ARP 125,16 38 13.9,+41 56 19,PRG
ARP 141,07 14 20.0,+73 28 25,PRG
ARP 142,09 37 44.1,+02 45 39,PRG
ARP 143,07 46 55.0,+39 00 56,PRG
ARP 145,02 23 07.7,+41 21 11,PRG
ARP 146,00 06 44.4000,-06 38 09.000,PRG
ARP 147,03 11 18.9000,+01 18 53.000,PRG
ARP 148,11 03 53.2000,+40 50 57.000,PRG
ARP 150,23 19 30.0,+09 30 30,PRG
ARP 219,03 39 53.2,-02 06 47,PRG
ARP 273,02 21 28.6,+39 22 32,PRG
ARP 284,23 36 14.2,+02 09 17,PRG
ARP 318,02 09 24.4,-10 08 10,PRG
ARP 335,11 04 23.5,+04 49 44,PRG
Abell 1631-14,12 52 32.4,-15 52 28,PRG
Abell 1644-105,12 57 37.2,-17 11 19,PRG
Abell 548-17,05 44 34.8,-26 05 19,PRG
Abell 548-71,05 45 05.12,-25 51 27.77,PRG
Arp 10,02 18 26.3596,+05 39 13.806,PRG
Arp 146,00 06 44.4000,-06 38 09.000,PRG
Arp 147,03 11 18.9000,+01 18 53.000,PRG
Arp 148,11 03 53.2000,+40 50 57.000,PRG
Arp 230,00 46 24.12,-13 26 32.71,PRG
Arp 292,09 54 32.84,-06 51 24.31,PRG
ESO 012-IG19,00 33 00.38,-78 12 44.02,PRG
ESO 018-G08,08 23 16.61,-77 49 10.79,PRG
ESO 047-IG11,20 44 21.08,-73 28 32.84,PRG
ESO 109-IG23,22 48 33.37,-66 43 14.95,PRG
ESO 113-IG04,01 00 34.14,-57 44 53.64,PRG
ESO 143-G37,20 37 47.97,-61 44 50.14,PRG
ESO 152-IG3,01 28 25.07,-52 38 08.31,PRG
ESO 200-IG 009,03 21 40.5,-51 39 31,PRG
ESO 201-IG26,04 15 17.63,-50 56 40.65,PRG
ESO 202-G01,04 16 29.79,-47 50 55.61,PRG
ESO 202-IG05,04 18 00.11,-50 02 40.35,PRG
